Date,Package,Title,year
2017-11-23,joint.Cox,"Penalized Likelihood Estimation and Dynamic Prediction under the
Joint Frailty-Copula Models Between Tumour Progression and
Death for Meta-Analysis",2017
2017-11-23,lawstat,"Tools for Biostatistics, Public Policy, and Law",2017
2017-11-23,mgm,Estimating Time-Varying k-Order Mixed Graphical Models,2017
2017-11-23,MHTdiscrete,Multiple Hypotheses Testing for Discrete Data,2017
2017-11-23,mrfDepth,"Depth Measures in Multivariate, Regression and Functional
Settings",2017
2017-11-23,MVar.pt,Analise multivariada (brazilian portuguese),2017
2017-11-23,odk,Convert 'ODK' or 'XLSForm' to 'SPSS' Data Frame,2017
2017-11-23,palm,Fitting Point Process Models via the Palm Likelihood,2017
2017-11-23,powdist,Power and Reversal Power Distributions,2017
2017-11-23,PracTools,Tools for Designing and Weighting Survey Samples,2017
2017-11-23,Rcpp,Seamless R and C++ Integration,2017
2017-11-23,Rnightlights,Satellite Nightlight Data Extraction,2017
2017-11-23,RSurvey,Geographic Information System Application,2017
2017-11-23,s20x,"Functions for University of Auckland Course STATS 201/208 Data
Analysis",2017
2017-11-23,sirt,Supplementary Item Response Theory Models,2017
2017-11-23,sjstats,"Collection of Convenient Functions for Common Statistical
Computations",2017
2017-11-23,sn,The Skew-Normal and Related Distributions Such as the Skew-t,2017
2017-11-23,stplanr,Sustainable Transport Planning,2017
2017-11-23,TempleMetrics,Estimating Conditional Distributions,2017
2017-11-23,Ternary,Plot Ternary Diagrams,2017
2017-11-23,TrajDataMining,Trajectories Data Mining,2017
2017-11-23,wtest,The W-Test on Genetic Interactions Testing,2017
2017-11-22,benthos,Marine Benthic Ecosystem Analysis,2017
2017-11-22,blscrapeR,An API Wrapper for the Bureau of Labor Statistics (BLS),2017
2017-11-22,bssm,"Bayesian Inference of Non-Linear and Non-Gaussian State Space
Models",2017
2017-11-22,bucky,Bucky's Archive for Data Analysis in the Social Sciences,2017
2017-11-22,Deriv,Symbolic Differentiation,2017
2017-11-22,Directional,Directional Statistics,2017
2017-11-22,dng,Distributions and Gradients,2017
2017-11-22,domino,R Console Bindings for the 'Domino Command-Line Client',2017
2017-11-22,DVHmetrics,Analyze Dose-Volume Histograms and Check Constraints,2017
2017-11-22,dyads,Dyadic Network Analysis,2017
2017-11-22,dynamichazard,Dynamic Hazard Models using State Space Models,2017
2017-11-22,ExplainPrediction,"Explanation of Predictions for Classification and Regression
Models",2017
2017-11-22,fpmoutliers,Frequent Pattern Mining Outliers,2017
2017-11-22,futility,"Interim Analysis of Operational Futility in Randomized Trials
with Time-to-Event Endpoints and Fixed Follow-Up",2017
2017-11-22,gamRR,Calculate the RR for the GAM,2017
2017-11-22,ggfan,Summarise a Distribution Through Coloured Intervals,2017
2017-11-22,HiCblock,"Systematic Analysis of Architectural Proteins and Functional
Elements in Blocking Long-Range Contacts Between Loci",2017
2017-11-22,KMgene,Gene-Based Association Analysis for Complex Traits,2017
2017-11-22,LCF,Linear Combination Fitting,2017
2017-11-22,LocalControl,"Nonparametric Methods for Generating High Quality Comparative
Effectiveness Evidence",2017
2017-11-22,MAINT.Data,Model and Analyse Interval Data,2017
2017-11-22,ManifoldOptim,"An R Interface to the 'ROPTLIB' Library for Riemannian Manifold
Optimization",2017
2017-11-22,mclust,"Gaussian Mixture Modelling for Model-Based Clustering,
Classification, and Density Estimation",2017
2017-11-22,miic,Multivariate Information Inductive Causation,2017
2017-11-22,nimble,"MCMC, Particle Filtering, and Programmable Hierarchical Modeling",2017
2017-11-22,Nippon,Japanese Utility Functions and Data,2017
2017-11-22,nricens,"NRI for Risk Prediction Models with Time to Event and Binary
Response Data",2017
2017-11-22,plsVarSel,Variable Selection in Partial Least Squares,2017
2017-11-22,PPCI,Projection Pursuit for Cluster Identification,2017
2017-11-22,prioritizr,Systematic Conservation Prioritization in R,2017
2017-11-22,provenance,Statistical Toolbox for Sedimentary Provenance Analysis,2017
2017-11-22,PSLM2015,Pakistan Social and Living Standards Measurement Survey 2014-15,2017
2017-11-22,RcppProgress,"An Interruptible Progress Bar with OpenMP Support for C++ in R
Packages",2017
2017-11-22,reactR,React Helpers,2017
2017-11-22,RLumModel,"Solving Ordinary Differential Equations to Understand
Luminescence",2017
2017-11-22,SELF,"A Structural Equation Embedded Likelihood Framework for Causal
Discovery",2017
2017-11-22,spdep,"Spatial Dependence: Weighting Schemes, Statistics and Models",2017
2017-11-22,survClip,Survival Analysis for Pathways,2017
2017-11-22,textrank,Summarize Text by Ranking Sentences,2017
2017-11-22,TipDatingBeast,"Using Tip Dates with Phylogenetic Trees in BEAST (Software for
Phylogenetic Analysis)",2017
2017-11-22,wTO,"Computing Weighted Topological Overlaps (wTO) & Consensus wTO
Network",2017
2017-11-22,xray,X Ray Vision on your Datasets,2017
2017-11-21,AMIAS,Alternating Minimization Induced Active Set Algorithms,2017
2017-11-21,anMC,Compute High Dimensional Orthant Probabilities,2017
2017-11-21,antaresRead,"Import, Manipulate and Explore the Results of an Antares
Simulation",2017
2017-11-21,bigpca,"PCA, Transpose and Multicore Functionality for 'big.matrix'
Objects",2017
2017-11-21,bikedata,Download and Aggregate Data from Public Hire Bicycle Systems,2017
2017-11-21,biofiles,An Interface for GenBank/GenPept Flat Files,2017
2017-11-21,bmlm,Bayesian Multilevel Mediation,2017
2017-11-21,CDM,Cognitive Diagnosis Modeling,2017
2017-11-21,civis,R Client for the 'Civis data science API',2017
2017-11-21,configr,"An Implementation of Parsing and Writing Configuration File
(JSON/INI/YAML/TOML)",2017
2017-11-21,dbplot,Simplifies Plotting Data Inside Databases,2017
2017-11-21,EcoGenetics,"Management and Exploratory Analysis of Spatial Data in Landscape
Genetics",2017
2017-11-21,epicontacts,"Handling, Visualisation and Analysis of Epidemiological Contacts",2017
2017-11-21,fakemake,Mock the Unix Make Utility,2017
2017-11-21,ICRanks,Simultaneous Confidence Intervals for Ranks,2017
2017-11-21,KenSyn,"Knowledge Synthesis in Agriculture - From Experimental Network
to Meta-Analysis",2017
2017-11-21,multichull,A Generic Convex-Hull-Based Model Selection Method,2017
2017-11-21,multinets,Multilevel Networks Analysis,2017
2017-11-21,ngram,Fast n-Gram 'Tokenization',2017
2017-11-21,pracma,Practical Numerical Math Functions,2017
2017-11-21,ragt2ridges,Ridge Estimation of Vector Auto-Regressive (VAR) Processes,2017
2017-11-21,RcppHMM,Rcpp Hidden Markov Model,2017
2017-11-21,RcppTN,Rcpp-Based Truncated Normal Distribution RNG and Family,2017
2017-11-21,rgdal,Bindings for the 'Geospatial' Data Abstraction Library,2017
2017-11-21,rockchalk,Regression Estimation and Presentation,2017
2017-11-21,Rraven,Connecting R and 'Raven' Sound Analysis Software,2017
2017-11-21,rsed,Stream Editing,2017
2017-11-21,Smisc,Sego Miscellaneous,2017
2017-11-21,solvebio,The Official SolveBio API Client,2017
2017-11-21,spatstat,"Spatial Point Pattern Analysis, Model-Fitting, Simulation, Tests",2017
2017-11-21,sspse,"Estimating Hidden Population Size using Respondent Driven
Sampling Data",2017
2017-11-21,trialr,Clinical Trial Designs in 'RStan',2017
2017-11-21,VennDiagram,Generate High-Resolution Venn and Euler Plots,2017
2017-11-20,bang,"Bayesian Analysis, No Gibbs",2017
2017-11-20,basad,Bayesian Variable Selection with Shrinking and Diffusing Priors,2017
2017-11-20,bigmemory,"Manage Massive Matrices with Shared Memory and Memory-Mapped
Files",2017
2017-11-20,broom,Convert Statistical Analysis Objects into Tidy Data Frames,2017
2017-11-20,carx,Censored Autoregressive Model with Exogenous Covariates,2017
2017-11-20,CommEcol,Community Ecology Analyses,2017
2017-11-20,copBasic,General Bivariate Copula Theory and Many Utility Functions,2017
2017-11-20,Countr,Flexible Univariate Count Models Based on Renewal Processes,2017
2017-11-20,covafillr,"Local Polynomial Regression of State Dependent Covariates in
State-Space Models",2017
2017-11-20,CVXR,Disciplined Convex Optimization,2017
2017-11-20,elo,Elo Ratings,2017
2017-11-20,evaluator,Information Security Quantified Risk Assessment Toolkit,2017
2017-11-20,FedData,"Functions to Automate Downloading Geospatial Data Available from
Several Federated Data Sources",2017
2017-11-20,fImport,Rmetrics - Importing Economic and Financial Data,2017
2017-11-20,gcdnet,"LASSO and Elastic Net (Adaptive) Penalized Least Squares,
Logistic Regression, HHSVM, Squared Hinge SVM and Expectile
Regression using a Fast GCD Algorithm",2017
2017-11-20,humarray,Simplify Analysis and Annotation of Human Microarray Datasets,2017
2017-11-20,kgc,Koeppen-Geiger Climatic Zones,2017
2017-11-20,LaF,Fast Access to Large ASCII Files,2017
2017-11-20,LCAvarsel,Variable Selection for Latent Class Analysis,2017
2017-11-20,ldat,Large Data Sets,2017
2017-11-20,longROC,"Time-Dependent Prognostic Accuracy with Multiply Evaluated Bio
Markers or Scores",2017
2017-11-20,LPKsample,LP Nonparametric High Dimension K-Sample Comparison,2017
2017-11-20,mcca,Multi-Category Classification Accuracy,2017
2017-11-20,metamisc,Diagnostic and Prognostic Meta-Analysis,2017
2017-11-20,miceadds,"Some Additional Multiple Imputation Functions, Especially for
'mice'",2017
2017-11-20,oompaBase,"Class Unions, Matrix Operations, and Color Schemes for OOMPA",2017
2017-11-20,pcr,Analyzing Real-Time Quantitative PCR Data,2017
2017-11-20,PCRedux,"Quantitative Polymerase Chain Reaction (qPCR) Machine Learning
Helper Tool",2017
2017-11-20,pillar,Coloured Formatting for Columns,2017
2017-11-20,Polychrome,Qualitative Palettes with Many Colors,2017
2017-11-20,praznik,Collection of Information-Based Feature Selection Filters,2017
2017-11-20,pulver,"Parallel Ultra-Rapid p-Value Computation for Linear Regression
Interaction Terms",2017
2017-11-20,qdap,"Bridging the Gap Between Qualitative Data and Quantitative
Analysis",2017
2017-11-20,ramchoice,Estimation and Inference in Random Attention Models,2017
2017-11-20,raptr,Representative and Adequate Prioritization Toolkit in R,2017
2017-11-20,RcppEigen,"'Rcpp' Integration for the 'Eigen' Templated Linear Algebra
Library",2017
2017-11-20,recipes,Preprocessing Tools to Create Design Matrices,2017
2017-11-20,ropenaq,Accesses Air Quality Data from the Open Data Platform OpenAQ,2017
2017-11-20,siland,Spatial Influence of Landscape,2017
2017-11-20,spatstat.data,Datasets for 'spatstat',2017
2017-11-20,spatstat.utils,Utility Functions for 'spatstat',2017
2017-11-20,strider,Strided Iterator and Range,2017
2017-11-20,survivalsvm,Survival Support Vector Analysis,2017
2017-11-20,synthpop,"Generating Synthetic Versions of Sensitive Microdata for
Statistical Disclosure Control",2017
2017-11-20,tm.plugin.factiva,"Import Articles from 'Factiva' Using the 'tm' Text Mining
Framework",2017
2017-11-20,utf8,Unicode Text Processing,2017
2017-11-19,AWR.Athena,'AWS' Athena 'DBI' Wrapper,2017
2017-11-19,car,Companion to Applied Regression,2017
2017-11-19,EditImputeCont,Simultaneous Edit-Imputation for Continuous Microdata,2017
2017-11-19,FinePop,Fine-Scale Population Analysis,2017
2017-11-19,FlowScreen,Daily Streamflow Trend and Change Point Screening,2017
2017-11-19,generalhoslem,Goodness of Fit Tests for Logistic Regression Models,2017
2017-11-19,InSilicoVA,Probabilistic Verbal Autopsy Coding with 'InSilicoVA' Algorithm,2017
2017-11-19,ManlyMix,Manly Mixture Modeling and Model-Based Clustering,2017
2017-11-19,qicharts2,Quality Improvement Charts,2017
2017-11-19,rbcb,R Interface to Brazilian Central Bank Web Services,2017
2017-11-19,RcppClassic,Deprecated 'classic' 'Rcpp' 'API',2017
2017-11-19,reglogit,Simulation-Based Regularized Logistic Regression,2017
2017-11-19,RLT,Reinforcement Learning Trees,2017
2017-11-19,robustlmm,Robust Linear Mixed Effects Models,2017
2017-11-19,tuber,Client for the YouTube API,2017
2017-11-19,uwIntroStats,"Descriptive Statistics, Inference, Regression, and Plotting in
an Introductory Statistics Course",2017
2017-11-19,wicket,Utilities to Handle WKT Spatial Data,2017
2017-11-19,wiqid,Quick and Dirty Estimates for Wildlife Populations,2017
2017-11-18,BDgraph,"Bayesian Structure Learning in Graphical Models using
Birth-Death MCMC",2017
2017-11-18,circlize,Circular Visualization,2017
2017-11-18,compound.Cox,"Estimation, Gene Selection, and Survival Prediction Based on the
Compound Covariate Method Under the Cox Model",2017
2017-11-18,easyAHP,Analytic Hierarchy Process (AHP),2017
2017-11-18,exprso,"Rapid Implementation of Machine Learning Algorithms for Genomic
Data",2017
2017-11-18,flowDiv,Cytometric Diversity Indices from Gated Data,2017
2017-11-18,hmi,Hierarchical Multiple Imputation,2017
2017-11-18,mplot,Graphical Model Stability and Variable Selection Procedures,2017
2017-11-18,ngstk,Next-Generation Sequencing (NGS) Data Analysis Toolkit,2017
2017-11-18,ompr.roi,"A Solver for 'ompr' that Uses the R Optimization Infrastructure
('ROI')",2017
2017-11-18,ordinalClust,"Ordinal Data Clustering, Co-Clustering and Classification",2017
2017-11-18,phyclust,Phylogenetic Clustering (Phyloclustering),2017
2017-11-18,protr,"Generating Various Numerical Representation Schemes for Protein
Sequences",2017
2017-11-18,RcppHoney,"Iterator Based Expression Template Expansion of Standard
Operators",2017
2017-11-18,rvinecopulib,High Performance Algorithms for Vine Copula Modeling,2017
2017-11-18,shapes,Statistical Shape Analysis,2017
2017-11-18,sitmo,"Parallel Pseudo Random Number Generator (PPRNG) 'sitmo' Header
Files",2017
2017-11-18,tidytext,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",2017
2017-11-18,tm,Text Mining Package,2017
2017-11-18,treemapify,Draw Treemaps in 'ggplot2',2017
2017-11-18,unrtf,Extract Text from Rich Text Format (RTF) Documents,2017
2017-11-18,warbleR,Streamline Bioacoustic Analysis,2017
2017-11-18,xslt,Extensible Style-Sheet Language Transformations,2017
2017-11-17,ArchaeoChron,Bayesian Modeling of Archaeological Chronologies,2017
2017-11-17,available,"Check if the Title of a Package is Available, Appropriate and
Interesting",2017
2017-11-17,bnspatial,Spatial Implementation of Bayesian Networks and Mapping,2017
2017-11-17,colorSpec,Color Calculations with Emphasis on Spectral Data,2017
2017-11-17,covatest,Tests on Properties of Space-Time Covariance Functions,2017
2017-11-17,ensembleMOS,Ensemble Model Output Statistics,2017
2017-11-17,extremefit,Estimation of Extreme Conditional Quantiles and Probabilities,2017
2017-11-17,fAsianOptions,Rmetrics - EBM and Asian Option Valuation,2017
2017-11-17,fBasics,Rmetrics - Markets and Basic Statistics,2017
2017-11-17,fExoticOptions,Rmetrics - Pricing and Evaluating Exotic Option,2017
2017-11-17,fExtremes,Rmetrics - Modelling Extreme Events in Finance,2017
2017-11-17,gamreg,Robust and Sparse Regression via Gamma-Divergence,2017
2017-11-17,GAS,Generalized Autoregressive Score Models,2017
2017-11-17,ggfittext,Fit Text Inside a Box in 'ggplot2',2017
2017-11-17,GJRM,Generalised Joint Regression Modelling,2017
2017-11-17,googleCloudStorageR,Interface with Google Cloud Storage API,2017
2017-11-17,imfr,Download Data from the International Monetary Fund's Data API,2017
2017-11-17,jagsUI,A Wrapper Around 'rjags' to Streamline 'JAGS' Analyses,2017
2017-11-17,keras,R Interface to 'Keras',2017
2017-11-17,KnowBR,"Discriminating Well Surveyed Spatial Units from Exhaustive
Biodiversity Databases",2017
2017-11-17,logihist,Combined Graphs for Logistic Regression,2017
2017-11-17,mldr.datasets,R Ultimate Multilabel Dataset Repository,2017
2017-11-17,mpmcorrelogram,Multivariate Partial Mantel Correlogram,2017
2017-11-17,nmfem,NMF-EM Algorithm,2017
2017-11-17,ompr,Model and Solve Mixed Integer Linear Programs,2017
2017-11-17,ores,Connector to the Objective Revision Evaluation Service (ORES),2017
2017-11-17,ProjectionBasedClustering,Projection Based Clustering,2017
2017-11-17,proPubBills,'ProPublica' U.S. Congress Bills API Wrapper,2017
2017-11-17,protViz,"Visualizing and Analyzing Mass Spectrometry Related Data in
Proteomics",2017
2017-11-17,queuecomputer,Computationally Efficient Queue Simulation,2017
2017-11-17,Relatedness,Maximum Likelihood Estimation of Relatedness using EM Algorithm,2017
2017-11-17,revgeo,"Reverse Geocoding with the Photon Geocoder for OpenStreetMap,
Google Maps, and Bing",2017
2017-11-17,Rfast,A Collection of Efficient and Extremely Fast R Functions,2017
2017-11-17,Rgretl,Interface to 'gretlcli',2017
2017-11-17,RHawkes,Renewal Hawkes Process,2017
2017-11-17,rmarkdown,Dynamic Documents for R,2017
2017-11-17,RNeXML,Semantically Rich I/O for the 'NeXML' Format,2017
2017-11-17,scorecard,Credit Risk Scorecard,2017
2017-11-17,seplyr,Standard Evaluation Interfaces for Common 'dplyr' Tasks,2017
2017-11-17,sparkavro,Load Avro File into 'Apache Spark',2017
2017-11-17,spectrolab,Class and Methods for Hyperspectral Data,2017
2017-11-17,spiderbar,Parse and Test Robots Exclusion Protocol Files and Rules,2017
2017-11-17,spMaps,Europe SpatialPolygonsDataFrame Builder,2017
2017-11-17,spotifyr,Pull Track Audio Features from the 'Spotify' Web API,2017
2017-11-17,sppmix,Modeling Spatial Poisson and Related Point Processes,2017
2017-11-17,stringi,Character String Processing Facilities,2017
2017-11-17,survminer,Drawing Survival Curves using 'ggplot2',2017
2017-11-17,timeSeries,Rmetrics - Financial Time Series Objects,2017
2017-11-17,tsBSS,"Blind Source Separation and Supervised Dimension Reduction for
Time Series",2017
2017-11-17,userfriendlyscience,Quantitative Analysis Made Accessible,2017
2017-11-17,usethis,Automate Package and Project Setup,2017
2017-11-17,wrapr,Wrap R Functions for Debugging and Parametric Programming,2017
2017-11-17,xpose,Diagnostics for Pharmacometric Models,2017
2017-11-17,YPInterimTesting,"Interim Monitoring Using Adaptively Weighted Log-Rank Test in
Clinical Trials",2017
2017-11-16,BayesGOF,Bayesian Modeling via Goodness of Fit,2017
2017-11-16,BoSSA,A Bunch of Structure and Sequence Analysis,2017
2017-11-16,CIEE,"Estimating and Testing Direct Effects in Directed Acyclic Graphs
using Estimating Equations",2017
2017-11-16,cowplot,Streamlined Plot Theme and Plot Annotations for 'ggplot2',2017
2017-11-16,dequer,"Stacks, Queues, and 'Deques' for R",2017
2017-11-16,easyanova,Analysis of Variance and Other Important Complementary Analyses,2017
2017-11-16,epr,Easy Polynomial Regression,2017
2017-11-16,fArma,Rmetrics - Modelling ARMA Time Series Processes,2017
2017-11-16,fAssets,Rmetrics - Analysing and Modelling Financial Assets,2017
2017-11-16,fCopulae,Rmetrics - Bivariate Dependence Structures with Copulae,2017
2017-11-16,fcros,"A Method to Search for Differentially Expressed Genes and to
Detect Recurrent Chromosomal Copy Number Aberrations",2017
2017-11-16,fGarch,Rmetrics - Autoregressive Conditional Heteroskedastic Modelling,2017
2017-11-16,flatr,"Transforms Contingency Tables to Data Frames, and Analyses Them",2017
2017-11-16,fMultivar,"Rmetrics - Analysing and Modeling Multivariate Financial Return
Distributions",2017
2017-11-16,fNonlinear,Rmetrics - Nonlinear and Chaotic Time Series Modelling,2017
2017-11-16,fOptions,Rmetrics - Pricing and Evaluating Basic Options,2017
2017-11-16,fPortfolio,Rmetrics - Portfolio Selection and Optimization,2017
2017-11-16,fUnitRoots,Rmetrics - Modelling Trends and Unit Roots,2017
2017-11-16,getCRUCLdata,Use and Explore CRU CL v. 2.0 Climatology Elements in R,2017
2017-11-16,googleLanguageR,"Call Google's 'Natural Language' API, 'Cloud Translation' API
and 'Cloud Speech' API",2017
2017-11-16,grattan,Australian Tax Policy Analysis,2017
2017-11-16,hashmap,The Faster Hash Map,2017
2017-11-16,ICSShiny,ICS via a Shiny Application,2017
2017-11-16,JuliaCall,Seamless Integration Between R and 'Julia',2017
2017-11-16,learnr,Interactive Tutorials for R,2017
2017-11-16,lwgeom,Bindings to Selected 'liblwgeom' Functions for Simple Features,2017
2017-11-16,Matrix,Sparse and Dense Matrix Classes and Methods,2017
2017-11-16,MixedPsy,Statistical Tools for the Analysis of Psychophysical Data,2017
2017-11-16,mkin,Kinetic Evaluation of Chemical Degradation Data,2017
2017-11-16,modest,Model-Based Dose-Escalation Trials,2017
2017-11-16,MSGARCH,Markov-Switching GARCH Models,2017
2017-11-16,MXM,"Feature Selection (Including Multiple Solutions) and Bayesian
Networks",2017
2017-11-16,Myrrix,"Interface to Myrrix. Myrrix is a Complete, Real-Time, Scalable
Clustering and Recommender System, Evolved from Apache Mahout",2017
2017-11-16,Myrrixjars,R/Myrrix Interface Jars,2017
2017-11-16,padr,Quickly Get Datetime Data Ready for Analysis,2017
2017-11-16,phenomap,Projecting Satellite-Derived Phenology in Space,2017
2017-11-16,psychmeta,Psychometric Meta-Analysis Toolkit,2017
2017-11-16,PtProcess,Time Dependent Point Process Modelling,2017
2017-11-16,RNOmni,"Omnibus Test for Genetic Association Analysis using the Rank
Normal Transformation",2017
2017-11-16,rrecsys,Environment for Evaluating Recommender Systems,2017
2017-11-16,rtweet,Collecting Twitter Data,2017
2017-11-16,SequentialDesign,"Observational Database Study Planning using Exact Sequential
Analysis for Poisson and Binomial Data",2017
2017-11-16,shinyWidgets,Custom Inputs Widgets for Shiny,2017
2017-11-16,soilDB,Soil Database Interface,2017
2017-11-16,TAM,Test Analysis Modules,2017
2017-11-16,taskscheduleR,Schedule R Scripts and Processes with the Windows Task Scheduler,2017
2017-11-16,tensorflow,R Interface to 'TensorFlow',2017
2017-11-16,texmex,Statistical Modelling of Extreme Values,2017
2017-11-16,thregI,"Threshold Regression for Interval-Censored Data with a Cure Rate
Option",2017
2017-11-16,timeDate,Rmetrics - Chronological and Calendar Objects,2017
2017-11-16,tweedie,Evaluation of Tweedie Exponential Family Models,2017
2017-11-16,utility,"Construct, Evaluate and Plot Value and Utility Functions",2017
2017-11-16,vennLasso,Variable Selection for Heterogeneous Populations,2017
2017-11-15,arc,Association Rule Classification,2017
2017-11-15,asnipe,Animal Social Network Inference and Permutations for Ecologists,2017
2017-11-15,batchtools,Tools for Computation on Batch Systems,2017
2017-11-15,CovTools,Statistical Tools for Covariance Analysis,2017
2017-11-15,easynls,Easy Nonlinear Model,2017
2017-11-15,enc,Portable Tools for 'UTF-8' Character Data,2017
2017-11-15,eulerr,"Area-Proportional Euler and Venn Diagrams with Circles or
Ellipses",2017
2017-11-15,EurosarcBayes,Bayesian Single Arm Sample Size Calculation Software,2017
2017-11-15,FateID,Quantification of Fate Bias in Multipotent Progenitors,2017
2017-11-15,fBonds,Rmetrics - Pricing and Evaluating Bonds,2017
2017-11-15,fRegression,Rmetrics - Regression Based Decision and Prediction,2017
2017-11-15,fTrading,Rmetrics - Trading and Rebalancing Financial Instruments,2017
2017-11-15,icensBKL,"Accompanion to the Book on Interval Censoring by Bogaerts,
Komarek, and Lesaffre",2017
2017-11-15,imbalance,Preprocessing Algorithms for Imbalanced Datasets,2017
2017-11-15,IndepTest,Nonparametric Independence Tests Based on Entropy Estimation,2017
2017-11-15,IQCC,Improved Quality Control Charts,2017
2017-11-15,jmvcore,Dependencies for the 'jamovi' Framework,2017
2017-11-15,laGP,Local Approximate Gaussian Process Regression,2017
2017-11-15,logmult,"Log-Multiplicative Models, Including Association Models",2017
2017-11-15,Massign,Simple Matrix Construction,2017
2017-11-15,matchMulti,Optimal Multilevel Matching using a Network Algorithm,2017
2017-11-15,meteoland,Landscape Meteorology Tools,2017
2017-11-15,MonetDBLite,In-Process Version of 'MonetDB',2017
2017-11-15,openEBGM,EBGM Scores for Mining Large Contingency Tables,2017
2017-11-15,PCMRS,Model Response Styles in Partial Credit Models,2017
2017-11-15,PlasmaMutationDetector,Tumor Mutation Detection in Plasma,2017
2017-11-15,promote,Client for the 'Alteryx Promote' API,2017
2017-11-15,rFerns,Random Ferns Classifier,2017
2017-11-15,rpicosat,R Bindings for the 'PicoSAT' SAT Solver,2017
2017-11-15,scraEP,Scrape European Parliament Careers,2017
2017-11-15,scriptexec,Execute Native Scripts,2017
2017-11-15,smooth,Forecasting Using Smoothing Functions,2017
2017-11-15,tactile,"New and Extended Plots, Methods, and Panel Functions for
'lattice'",2017
2017-11-15,TOSTER,Two One-Sided Tests (TOST) Equivalence Testing,2017
2017-11-14,bazar,Miscellaneous Basic Functions,2017
2017-11-14,bestNormalize,Normalizing Transformation Functions,2017
2017-11-14,BootValidation,"Adjusting for Optimism in 'glmnet' Regression using
Bootstrapping",2017
2017-11-14,cdcfluview,Retrieve 'U.S'. Flu Season Data from the 'CDC' 'FluView' Portal,2017
2017-11-14,coop,"Co-Operation: Fast Covariance, Correlation, and Cosine
Similarity Operations",2017
2017-11-14,crunch,Crunch.io Data Tools,2017
2017-11-14,dataCompareR,Compare Two Data Frames and Summarise the Difference,2017
2017-11-14,dynsurv,Dynamic Models for Survival Data,2017
2017-11-14,ggpubr,'ggplot2' Based Publication Ready Plots,2017
2017-11-14,googleAuthR,Authenticate and Create Google APIs,2017
2017-11-14,gravity,A Compilation of Different Estimation Methods for Gravity Models,2017
2017-11-14,httptest,A Test Environment for HTTP Requests,2017
2017-11-14,ICCbin,"Facilitates Clustered Binary Data Generation, and Estimation of
Intracluster Correlation Coefficient (ICC) for Binary Data",2017
2017-11-14,inlabru,Spatial Inference using Integrated Nested Laplace Approximation,2017
2017-11-14,L1pack,Routines for L1 Estimation,2017
