"";"text";"restaurante";"text_clean"
"25";"odeio que me acorde, mas me acordar com um lanche do mc donalds foi a melhor prova de amor, mãe eu te amo 😂❤️🍟";"Lanchonete1";"odeio que me acorde mas me acordar com um lanche do   foi a melhor prova de amor mãe eu te amo 😂❤️🍟"
"26";"mó ódio morar pertinho do mc donalds e sentir o cheiro de lanche aaaaaaaa";"Lanchonete1";"mó ódio morar pertinho do   e sentir o cheiro de lanche aaaaaaaa"
"27";"mc donalds, você está fazendo isso errado";"Lanchonete1";"  você está fazendo isso errado"
"28";"mc donalds sempre será mto melhor";"Lanchonete1";"  sempre será mto melhor"
"29";"acho interessante que quando eu tenho dinheiro não tem uma promoção de comida, no máximo um mc donalds";"Lanchonete1";"acho interessante que quando eu tenho dinheiro não tem uma promoção de comida no máximo um  "
"30";"sendo que eu mesma já comprei o balde e eu sei que não é a mesma quantidade 
quero que o @burgerkingbr vá pra puta que pariu com propaganda enganosa, sério, fiquei com muita raiva 
devia ter comido no mc donalds msm";"Lanchonete1";"sendo que eu mesma já comprei o balde e eu sei que não é a mesma quantidade 
quero que o br vá pra puta que pariu com propaganda enganosa sério fiquei com muita raiva 
devia ter comido no   msm"
"31";"#fsrádiobrasil o mano falando a bom senso é o mesmo que ver o ronald mc donalds virando vegano kkkkkkkkk";"Lanchonete1";"#fsrádiobrasil o mano falando a bom senso é o mesmo que ver o ronald   virando vegano kkkkkkkkk"
"32";"@tabita_leal @saramartns @artuuee @alininha53 tava no mc donalds né @alininha53";"Lanchonete1";"tabitaleal saramartns artuuee alininha tava no   né alininha"
"33";"alguém tá afim de me levar no mc donalds?";"Lanchonete1";"alguém tá afim de me levar no  "
"34";"quem dorme 5 horas seguidas na mesa do mc donalds????? hahahahahaha";"Lanchonete1";"quem dorme  horas seguidas na mesa do   hahahahahaha"
"35";"vou no mc donalds daqui a pouco";"Lanchonete1";"vou no   daqui a pouco"
"36";"a n ser que eu critique o mc donalds, os hamburgao do roots, o hotdog do nadog";"Lanchonete1";"a n ser que eu critique o   os hamburgao do roots o hotdog do nadog"
"37";"minha veia veio me acompanhar e disse que saindo daqui vai me levar p comer mc donalds, amo ela 💛 gratidão.";"Lanchonete1";"minha veia veio me acompanhar e disse que saindo daqui vai me levar p comer   amo ela 💛 gratidão"
"38";"oq é o bk 🙄, perto da minha paixão pelo mc donalds ❤️😌";"Lanchonete1";"oq é o  🙄 perto da minha paixão pelo   ❤️😌"
"39";"@matheus_rochak depois fala que não tem dinheiro pra pagar um mc donalds pra mim";"Lanchonete1";"matheusrochak depois fala que não tem dinheiro pra pagar um   pra mim"
"40";"pokemon no mc donalds, pagar pra upar e naruto x boruto https://t.co/z9r9f4xs6a via @youtube";"Lanchonete1";"pokemon no   pagar pra upar e naruto x boruto httpstcozrfxsa via youtube"
"41";"adicionei um vídeo a uma playlist @youtube https://t.co/8uhh0jmxql no mc donalds, pagar pra upar e naruto x boruto";"Lanchonete1";"adicionei um vídeo a uma playlist youtube httpstcouhhjmxql no   pagar pra upar e naruto x boruto"
"42";"caralho bicho ou eu realmente sou a pessoa mais chata do mundo ou meus amigos hj tão ruim d boca n tem ngm pra ir na black friday d mc donalds bk kfc comigo";"Lanchonete1";"caralho bicho ou eu realmente sou a pessoa mais chata do mundo ou meus amigos hj tão ruim d boca n tem ngm pra ir na black friday d     comigo"
"43";"feliz é quem está no mc donalds ou no buguer king";"Lanchonete1";"feliz é quem está no   ou no buguer "
"44";"tô feliz dms de ter ganhado uma casquinha no mc donalds";"Lanchonete1";"tô feliz dms de ter ganhado uma casquinha no  "
"45";"socorrrroo me acabei no black friday de batata do mc donalds!!!!  😍😍😍😍😍";"Lanchonete1";"socorrrroo me acabei no black friday de batata do    😍😍😍😍😍"
"46";"única coisa boa nessa black friday é a briga entre o mc donalds e o burger king, o resto é tudo fraude!!";"Lanchonete1";"única coisa boa nessa black friday é a briga entre o   e o  o resto é tudo fraude"
"47";"em petrópolis só tem mc donalds https://t.co/hlruthb6wp";"Lanchonete1";"em petrópolis só tem   httpstcohlruthbwp"
"48";"aff a promoção do mc donalds não tá valendo a pena";"Lanchonete1";"aff a promoção do   não tá valendo a pena"
"49";"promoção no mc donalds e eu em casa pq não quero ir sozinho";"Lanchonete1";"promoção no   e eu em casa pq não quero ir sozinho"
"50";"@bruuninhaluiza mc donalds só sorvete, porque milkshake eu detesto";"Lanchonete1";"bruuninhaluiza   só sorvete porque milkshake eu detesto"
"51";"refil de fritas no mc donalds, isso vai é dar muita merda 😂😂😂";"Lanchonete1";"refil de fritas no   isso vai é dar muita merda 😂😂😂"
"52";"vou no mc donalds cm a minha gostosinha p gnt matar essa black deles 😋";"Lanchonete1";"vou no   cm a minha gostosinha p gnt matar essa black deles 😋"
"53";"chupa meu pau mc donalds da freguesia é o mais moderno do rio https://t.co/kky5hxjaas";"Lanchonete1";"chupa meu pau   da freguesia é o mais moderno do rio httpstcokkyhxjaas"
"54";"eu: amor, preciso falar uma coisa mto séria
ana *em pânico*: o que sua doida??????
eu: o mc donalds tá com refil de batata

eu avisei q o assunto era sério";"Lanchonete1";"eu amor preciso falar uma coisa mto séria
ana em pânico o que sua doida
eu o   tá com refil de batata

eu avisei q o assunto era sério"
"55";"@sousa25ju @lwithp kkkkkk é foda,vai lançar outro agora sobre o mc donalds,”fome de poder” to esperando lançar só pra assistir,vai ser sinistro!";"Lanchonete1";"sousaju lwithp kkkkkk é fodavai lançar outro agora sobre o  fome de poder to esperando lançar só pra assistirvai ser sinistro"
"56";"adicionei um vídeo a uma playlist @youtube https://t.co/ljk22zcxoo no mc donalds, pagar pra upar e naruto x boruto";"Lanchonete1";"adicionei um vídeo a uma playlist youtube httpstcoljkzcxoo no   pagar pra upar e naruto x boruto"
"57";"@lwithp @sousa25ju assistam super size me-a dieta do palhaço e quero ver vocês comerem no mc donalds,agora vai falir,boa tarde kkk!";"Lanchonete1";"lwithp sousaju assistam super size mea dieta do palhaço e quero ver vocês comerem no  agora vai falirboa tarde kkk"
"58";"mc'donalds se ferrou aqui em marília. o lounge tá fazendo a batata deles de quase 1kg por 7 reais... por isso amo aquele barzinho";"Lanchonete1";" se ferrou aqui em marília o lounge tá fazendo a batata deles de quase kg por  reais por isso amo aquele barzinho"
"59";"da pra sonhar com o mc donalds fazendo uma promoção ""ataque um post do 4chan e ganhe um refil de batatas fritas""";"Lanchonete1";"da pra sonhar com o   fazendo uma promoção ataque um post do chan e ganhe um refil de batatas fritas"
"60";"acho q mais tarde eu vou no mc donalds tbm";"Lanchonete1";"acho q mais tarde eu vou no   tbm"
"61";"esse black friday do mc donalds não pode acabar, nunca comi tanta batata";"Lanchonete1";"esse black friday do   não pode acabar nunca comi tanta batata"
"62";"@brucarvalho logo no dia de refil de batata no mc donalds";"Lanchonete1";"brucarvalho logo no dia de refil de batata no  "
"63";"alguém pra ir no mc donalds comer refil de batata cmg hj ??";"Lanchonete1";"alguém pra ir no   comer refil de batata cmg hj "
"64";"o que vai ter de cliente falando ""queria algo bem igual aquele vídeo do mc donalds, bem vendedor mesmo..."" 😂😂 https://t.co/dvgqk23qfa";"Lanchonete1";"o que vai ter de cliente falando queria algo bem igual aquele vídeo do   bem vendedor mesmo 😂😂 httpstcodvgqkqfa"
"65";"gente vcs acham mesmo que mc donalds ta preocupado en brigar com bk na black friday? os cara vende muito o ano inteiro. eles cagam pra essas datas.";"Lanchonete1";"gente vcs acham mesmo que   ta preocupado en brigar com  na black friday os cara vende muito o ano inteiro eles cagam pra essas datas"
"66";"to nervoso com essa fila do mc donalds";"Lanchonete1";"to nervoso com essa fila do  "
"67";"eh pra morrer de colesterol alto.. black friday de batata no mc donalds refil! paga uma come ate morrer kkk";"Lanchonete1";"eh pra morrer de colesterol alto black friday de batata no   refil paga uma come ate morrer kkk"
"68";"arrumei um namorado no mc donalds,agora vai!!!!🙌🏻";"Lanchonete1";"arrumei um namorado no  agora vai🙌🏻"
"69";"colei no mc donalds hoje achando que ia comer 3kg de batata frita, mas descobri que só pode repetir 1 vez😡";"Lanchonete1";"colei no   hoje achando que ia comer kg de batata frita mas descobri que só pode repetir  vez😡"
"70";"mc donalds o próprio fracasso";"Lanchonete1";"  o próprio fracasso"
"71";"a fila do bk tava tão absurda que tivemos q comer no mc donalds mesmo";"Lanchonete1";"a fila do  tava tão absurda que tivemos q comer no   mesmo"
"72";"quando você mora no cu do capeta e não tem mc donalds https://t.co/tyuw2sqyzv";"Lanchonete1";"quando você mora no cu do capeta e não tem   httpstcotyuwsqyzv"
"73";"é óbvio que balde de batata do bk é bem melhor q refil até pq refil tem q pegar mais fila mc donalds vc eh burro";"Lanchonete1";"é óbvio que balde de batata do  é bem melhor q refil até pq refil tem q pegar mais fila   vc eh burro"
"74";"@lopesisa__ akskkaksk ai coragem, mc donalds pisa demais";"Lanchonete1";"lopesisa akskkaksk ai coragem   pisa demais"
"75";"mc donalds de caxias tá um inferno hj";"Lanchonete1";"  de caxias tá um inferno hj"
"76";"kfc e girafas massacraram o bk e o mc donalds trago fatos https://t.co/dycl7e6ti8";"Lanchonete1";" e girafas massacraram o  e o   trago fatos httpstcodycleti"
"77";"hoje eu vou me entupir de mc donalds com meu namorado sue me";"Lanchonete1";"hoje eu vou me entupir de   com meu namorado sue me"
"78";"qual promoção tá valendo mais? a do mc donalds ou do bk?";"Lanchonete1";"qual promoção tá valendo mais a do   ou do "
"79";"é isso, hoje tem batata frita em refil no mc donalds e show instrumental no br. bota o teu!";"Lanchonete1";"é isso hoje tem batata frita em refil no   e show instrumental no br bota o teu"
"80";"quero ir no burger king e no mc donalds hoje..😏";"Lanchonete1";"quero ir no  e no   hoje😏"
"81";"vou ter que comer um lanche do mc donalds não tem outro jeito, será que conseguirei entrar?";"Lanchonete1";"vou ter que comer um lanche do   não tem outro jeito será que conseguirei entrar"
"82";"fui lá o mc donalds comprar batata e tava fechado";"Lanchonete1";"fui lá o   comprar batata e tava fechado"
"83";"o dia q eu gastei 8 reais no mc donalds e sai com um mc chicken e duas batatas médias";"Lanchonete1";"o dia q eu gastei  reais no   e sai com um  chicken e duas batatas médias"
"84";"só queria aproveitar essa black friday no mc donalds ou burguer king.. 😭😭";"Lanchonete1";"só queria aproveitar essa black friday no   ou burguer  😭😭"
"85";"@sugarttalgi subway ta dois por um, refil de batata no mc donalds e balde de batata no bk";"Lanchonete1";"sugarttalgi  ta dois por um refil de batata no   e balde de batata no "
"86";"na fila gigantesca do mc donalds pra pegar batata da black friday.";"Lanchonete1";"na fila gigantesca do   pra pegar batata da black friday"
"87";"eu prefiro as batatas do mc donalds porém o lanche do burguer king e frango do kfc como lidar????? https://t.co/2kplrc2gjy";"Lanchonete1";"eu prefiro as batatas do   porém o lanche do burguer  e frango do  como lidar httpstcokplrcgjy"
"88";"eu sou a única estranha que gosta de comer hambúrguer (tipo do bk e mc donalds) gelado?";"Lanchonete1";"eu sou a única estranha que gosta de comer hambúrguer tipo do  e   gelado"
"89";"tinha um menino de 6 anos sozinho na rua, ai eu curiosa:
-cade sua mae?
-ta pedindo dinheiro
-vc ta com fome?
-to
-qr ir no mc donalds cmg?
-qro mas minha mae n deixa
-pera ai q eu vo la comprar trago pra vc

é assim q a gente aproveita o black friday um lanche p mim, um pra ele";"Lanchonete1";"tinha um menino de  anos sozinho na rua ai eu curiosa
cade sua mae
ta pedindo dinheiro
vc ta com fome
to
qr ir no   cmg
qro mas minha mae n deixa
pera ai q eu vo la comprar trago pra vc

é assim q a gente aproveita o black friday um lanche p mim um pra ele"
"90";"#bbdebate tô precisano de 30 reais pra ir no mc donalds se o flamengo me der eu fico no lugar do muralha";"Lanchonete1";"#bbdebate tô precisano de  reais pra ir no   se o flamengo me der eu fico no lugar do muralha"
"91";"nem fast food talvez ne pq mc donalds eh mo vermelho com amarelo a cor do comunismo da bandeira da urss da china claramente uma invencao comunista que deu certo e ngm assume e por isso falam q e capitalista";"Lanchonete1";"nem fast food talvez ne pq   eh mo vermelho com amarelo a cor do comunismo da bandeira da urss da china claramente uma invencao comunista que deu certo e ngm assume e por isso falam q e capitalista"
"92";"@centraldefassa vou comprar batata frita do mc donalds que vem com refil kkkkkk
#sophianovídeoshowaovivo";"Lanchonete1";"centraldefassa vou comprar batata frita do   que vem com refil kkkkkk
#sophianovídeoshowaovivo"
"93";"eu tô no meio do mc donalds chorando pelo amor de deus q merda é essa";"Lanchonete1";"eu tô no meio do   chorando pelo amor de deus q merda é essa"
"94";"decepcionada, porém sigo linda e tranquila no mc donalds #choices";"Lanchonete1";"decepcionada porém sigo linda e tranquila no   #choices"
"95";"meu sonho eh matar todos os trabalhadores de mc donalds em brasília são todos burros lerdos dos inferno";"Lanchonete1";"meu sonho eh matar todos os trabalhadores de   em brasília são todos burros lerdos dos inferno"
"96";"como pode um mc donalds com 3 andares não ter uma mesa vazia";"Lanchonete1";"como pode um   com  andares não ter uma mesa vazia"
"97";"mc donalds tá mais cheio q atacado, nem rola de pegar a batata de graça";"Lanchonete1";"  tá mais cheio q atacado nem rola de pegar a batata de graça"
"98";"hj o pt de batata é no mc donalds";"Lanchonete1";"hj o pt de batata é no  "
"99";"@branco_deia @danieltuita se você pensar que dá pra pagar o mesmo preço por um hamburguer bom, bem feito, carne boa, em um lugar legal.. é muito caro no mc donalds sim";"Lanchonete1";"brancodeia danieltuita se você pensar que dá pra pagar o mesmo preço por um hamburguer bom bem feito carne boa em um lugar legal é muito caro no   sim"
"100";"queria comer mc donalds todos os dias 😩";"Lanchonete1";"queria comer   todos os dias 😩"
"101";"esse black friday do mc donalds tá igual os cupons que eu ganhei mês passado 🤔🤔🤔 #enganatrouxa";"Lanchonete1";"esse black friday do   tá igual os cupons que eu ganhei mês passado 🤔🤔🤔 #enganatrouxa"
"102";"ninguém quer ir no mc donalds comigo, cruz credo mane";"Lanchonete1";"ninguém quer ir no   comigo cruz credo mane"
"103";"amassei um mc donalds e ainda guardei o pacote da batata pra comer mais tarde dnv kkkkkk";"Lanchonete1";"amassei um   e ainda guardei o pacote da batata pra comer mais tarde dnv kkkkkk"
"104";"dandara fode com meu batalhão legal, falou p minha mãe que eu não levei ela no médico, que eu comprei vestido, chinelo e levei ela no mc donalds ... fofoqueira mirin 😂😂😂😂😂😂😂";"Lanchonete1";"dandara fode com meu batalhão legal falou p minha mãe que eu não levei ela no médico que eu comprei vestido chinelo e levei ela no    fofoqueira mirin 😂😂😂😂😂😂😂"
"105";"to comendo mc donalds c a maria e o sor eduardo";"Lanchonete1";"to comendo   c a maria e o sor eduardo"
"106";"o que tem pra hj marica ? — comer muito no mc donalds https://t.co/ydao610kuk";"Lanchonete1";"o que tem pra hj marica   comer muito no   httpstcoydaokuk"
"107";"hoje so vou no mc donalds pra tirar ft com a embalagem preta tumblr #blackfryday";"Lanchonete1";"hoje so vou no   pra tirar ft com a embalagem preta tumblr #blackfryday"
"108";"por mais amizades assim 
maria me acordou para irmos nas lojas americanas e mc donalds pegar batata";"Lanchonete1";"por mais amizades assim 
maria me acordou para irmos nas lojas americanas e   pegar batata"
"109";"eu queria tanto um mc donalds agora";"Lanchonete1";"eu queria tanto um   agora"
"110";"quero ir no mc donalds ou no burger king hoje 😭";"Lanchonete1";"quero ir no   ou no  hoje 😭"
"111";"mc donalds da de 10 a 0";"Lanchonete1";"  da de  a "
"112";"vocês eu não sei, mas eu tô indo nas lojas americanas pra comprar chocolate na black friday, e de lá pretendo ir no mc donalds pelo mesmo motivo.

prioridades né?";"Lanchonete1";"vocês eu não sei mas eu tô indo nas lojas americanas pra comprar chocolate na black friday e de lá pretendo ir no   pelo mesmo motivo

prioridades né"
"113";"vou almoçar no mc donalds https://t.co/skjbhe0i4k";"Lanchonete1";"vou almoçar no   httpstcoskjbheik"
"114";"imaginem essa cena: eu e @ihhduda de bike na rua com 4 sacolas no mc donalds e 3 bebidas na mão passando pelos carros com medo de morrer atropelada. obs: era só 1 bike com nós duas";"Lanchonete1";"imaginem essa cena eu e ihhduda de bike na rua com  sacolas no   e  bebidas na mão passando pelos carros com medo de morrer atropelada obs era só  bike com nós duas"
"115";"@meraestatistica diz pra ela que tá rolando refil de batata frita na mc donalds hoje

as únicas coisas que prestam lá: sorvete e batata";"Lanchonete1";"meraestatistica diz pra ela que tá rolando refil de batata frita na   hoje

as únicas coisas que prestam lá sorvete e batata"
"116";"porque hj é #blackfriday ! em mc donalds rua são josé https://t.co/kmkopg18dn";"Lanchonete1";"porque hj é #blackfriday  em   rua são josé httpstcokmkopgdn"
"117";"irei aproveitar a guerra de fritas no bk e mc donalds hoje.";"Lanchonete1";"irei aproveitar a guerra de fritas no  e   hoje"
"118";"preciso ir no burguer king ou mc donalds hoje socorro";"Lanchonete1";"preciso ir no burguer  ou   hoje socorro"
"119";"alô @burguerkingbr vamo abrir uma franquia no buritis? 
vou ser obrigada a trair o movimento hj e comprar batata no mc donalds pq é o único perto do meu serviço";"Lanchonete1";"alô burguerbr vamo abrir uma franquia no buritis 
vou ser obrigada a trair o movimento hj e comprar batata no   pq é o único perto do meu serviço"
"120";"pensando em ir a pé pra faculdade só pra ir no mc donalds comprar a batata frita e pegar outra depois de noite kkkk";"Lanchonete1";"pensando em ir a pé pra faculdade só pra ir no   comprar a batata frita e pegar outra depois de noite kkkk"
"121";"eu nunca vi mc donalds e bk tão cheios, mano";"Lanchonete1";"eu nunca vi   e  tão cheios mano"
"122";"vou na bia, depois vou no mc donalds com a ju";"Lanchonete1";"vou na bia depois vou no   com a ju"
"123";"não sei se vou no mc donalds, bobs, subway ou burger king";"Lanchonete1";"não sei se vou no     ou "
"124";"fui no mc donalds almoçar, e porra to passando mal de tanto que comi";"Lanchonete1";"fui no   almoçar e porra to passando mal de tanto que comi"
"125";"vontade de mc donalds 😓😓";"Lanchonete1";"vontade de   😓😓"
"126";"meu sonho é alguém me chamar pra ir no bk/mc donalds hj com tudo pago";"Lanchonete1";"meu sonho é alguém me chamar pra ir no   hj com tudo pago"
"127";"""mas tem que aproveitar a black friday pra comprar tv, computador, microondas.."" amigan, eu quero é comida mesmo, no mc donalds vai ter refil de batata frita. 🍟";"Lanchonete1";"mas tem que aproveitar a black friday pra comprar tv computador microondas amigan eu quero é comida mesmo no   vai ter refil de batata frita 🍟"
"128";"quero um lanche do mc donalds!!!!";"Lanchonete1";"quero um lanche do  "
"129";"decepcionado que fui no mc donalds do shopping aqui perto pensando que ia ter promoção e n tinha";"Lanchonete1";"decepcionado que fui no   do shopping aqui perto pensando que ia ter promoção e n tinha"
"130";"quero ir no mc donalds comer quarteirão 😭";"Lanchonete1";"quero ir no   comer quarteirão 😭"
"131";"se não quiserem ir no mc donalds vou aonde vcs quiserem só quero sair de casa";"Lanchonete1";"se não quiserem ir no   vou aonde vcs quiserem só quero sair de casa"
"132";"o questionamento do dia é saber se é mais vantagem mc donalds ou burguer king nesse black friday";"Lanchonete1";"o questionamento do dia é saber se é mais vantagem   ou burguer  nesse black friday"
"133";"geovanna falou q prefere a batata do bk do q a do mc donalds,n sei comoooo";"Lanchonete1";"geovanna falou q prefere a batata do  do q a do  n sei comoooo"
"134";"amo o mc donalds";"Lanchonete1";"amo o  "
"135";"@joopedrosampai7 comprar açai que custa muito mais barato do que mc donalds, ninguém compra né! :@";"Lanchonete1";"joopedrosampai comprar açai que custa muito mais barato do que   ninguém compra né "
"136";"free refil de batata do mc donalds só pode encher uma vez";"Lanchonete1";"free refil de batata do   só pode encher uma vez"
"137";"essa fila do mc donalds tá uma porra";"Lanchonete1";"essa fila do   tá uma porra"
"138";"hoje eu passo o mais longe possível do mc donalds! 
tô fora desse open de 🍟";"Lanchonete1";"hoje eu passo o mais longe possível do   
tô fora desse open de 🍟"
"139";"almocei mas nao matei minha fome, mas tarde vou no mc donalds compra um lanche !!!🍔🍟";"Lanchonete1";"almocei mas nao matei minha fome mas tarde vou no   compra um lanche 🍔🍟"
"140";"@giulliastm_ vamo comer na black friday do mc donalds vamos";"Lanchonete1";"giulliastm vamo comer na black friday do   vamos"
"141";"alguém pra ir no mc donalds comigo agora não tenho ngm p ir";"Lanchonete1";"alguém pra ir no   comigo agora não tenho ngm p ir"
"142";"mc donalds sempre será melhor que burger king, bjs";"Lanchonete1";"  sempre será melhor que  bjs"
"143";"vou aproveitar o black friday do mc donalds hoje";"Lanchonete1";"vou aproveitar o black friday do   hoje"
"144";"o mc donalds dá brinquedo pra obrigar &gt;&gt;crianças&lt;&lt; a consumir o lixo tóxico deles e os pais realmente caem e compram cara quão bizarro é isso?";"Lanchonete1";"o   dá brinquedo pra obrigar gtgtcriançasltlt a consumir o lixo tóxico deles e os pais realmente caem e compram cara quão bizarro é isso"
"145";"entre mc donalds e burger king eu so quero que o wendys venha pro brasil";"Lanchonete1";"entre   e  eu so quero que o wendys venha pro brasil"
"146";"muito decepcionada com o mc donalds, pprt";"Lanchonete1";"muito decepcionada com o   pprt"
"147";"sera se o mc donalds ta um inferno";"Lanchonete1";"sera se o   ta um inferno"
"148";"vamo no caxias shopping hoje? lá tem mc donalds, kfc e burguer king, dá pra aproveitar tudo.";"Lanchonete1";"vamo no caxias shopping hoje lá tem    e burguer  dá pra aproveitar tudo"
"149";"tem #blackfriday no mc donalds??? #adeusdieta";"Lanchonete1";"tem #blackfriday no   #adeusdieta"
"150";"eu simplesmente n aguento mais vcs falando de mc donalds e burguer king";"Lanchonete1";"eu simplesmente n aguento mais vcs falando de   e burguer "
"151";"@icarrrus hj no conjunto as 18h hj tu come mc donalds https://t.co/x5yagam1br";"Lanchonete1";"icarrrus hj no conjunto as h hj tu come   httpstcoxyagambr"
"152";"eu queria muito ir no mc donalds hj aproveitar a #blackfyday mas...quem sabe ano que vem";"Lanchonete1";"eu queria muito ir no   hj aproveitar a #blackfyday masquem sabe ano que vem"
"153";"vou tentar arrastar o luan p mc donalds ou burger king hoje 😂";"Lanchonete1";"vou tentar arrastar o luan p   ou  hoje 😂"
"154";"fila do mc donalds e do bk virando a esquina... eu to bem chateada";"Lanchonete1";"fila do   e do  virando a esquina eu to bem chateada"
"155";"mc donalds,tá competindo com o guanabara, em quesito a lotação 🆘.";"Lanchonete1";" tá competindo com o guanabara em quesito a lotação 🆘"
"156";"mc donalds miserável vai perder toda a clientela pro bk hoje kkkkkkk";"Lanchonete1";"  miserável vai perder toda a clientela pro  hoje kkkkkkk"
"157";"se eu fosse o mc donalds eu iria dar lanches de graça só pra arrasar com o bk!!!! 
 @mcdonalds_br";"Lanchonete1";"se eu fosse o   eu iria dar lanches de graça só pra arrasar com o  
 br"
"158";"tive que comer no mc donalds hj pq né refil de batata grátis.";"Lanchonete1";"tive que comer no   hj pq né refil de batata grátis"
"159";"o que é uma batata frita do mc donalds q vem uma miséria perto de um pacotão de 2 kg de batata q eu comprei pra fritar bjs";"Lanchonete1";"o que é uma batata frita do   q vem uma miséria perto de um pacotão de  kg de batata q eu comprei pra fritar bjs"
